TeamId,TeamName,ShortName,TeamIconUrl,TeamGroupName
76,1. FC Kaiserslautern,K'Lautern,https://upload.wikimedia.org/wikipedia/commons/d/d3/Logo_1_FC_Kaiserslautern.svg,
78,1. FC Magdeburg,FCM,https://upload.wikimedia.org/wikipedia/commons/thumb/8/84/1._FC_Magdeburg.svg/210px-1._FC_Magdeburg.svg.png,
417,1. FC Saarbrücken,,http://upload.wikimedia.org/wikipedia/de/thumb/f/ff/1._FC_Saarbr%C3%BCcken.svg/150px-1._FC_Saarbr%C3%BCcken.svg.png,
179,FC Bayern München II,,https://www.openligadb.de/images/teamicons/Bayern_Muenchen.gif,
102,FC Hansa Rostock,Rostock,https://upload.wikimedia.org/wikipedia/commons/0/00/FC_Hansa_Logo_seit_2009.png,
171,FC Ingolstadt 04,Ingolstadt,https://upload.wikimedia.org/wikipedia/de/thumb/5/55/FC-Ingolstadt_logo.svg/125px-FC-Ingolstadt_logo.svg.png,
2199,FC Viktoria Köln,,https://upload.wikimedia.org/wikipedia/commons/thumb/d/dc/FC_Viktoria_K%C3%B6ln_1904_Logo.svg/1200px-FC_Viktoria_K%C3%B6ln_1904_Logo.svg.png,
1979,FSV Zwickau,,https://upload.wikimedia.org/wikipedia/de/thumb/0/01/FSV_Zwickau_Logo.svg/120px-FSV_Zwickau_Logo.svg.png,
208,Hallescher FC,Halle,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e1/Hallescher_FC.svg/150px-Hallescher_FC.svg.png,
563,KFC Uerdingen 05,,https://upload.wikimedia.org/wikipedia/commons/d/dc/Logo_Uerdingen_Od_1996.gif,
107,MSV Duisburg,Duisburg,https://upload.wikimedia.org/wikipedia/en/c/c8/Msv_duisburg%28new%29.svg,
114,SC Verl,,https://www.openligadb.de/images/teamicons/SC_Verl.gif,
177,SG Dynamo Dresden,Dynamo,https://www.openligadb.de/images/teamicons/Dynamo_Dresden.gif,
116,SpVgg Unterhaching,Unterhaching,https://www.openligadb.de/images/teamicons/SpVgg_Unterhaching.gif,
599,SV Meppen,,https://upload.wikimedia.org/wikipedia/commons/thumb/5/55/SV_Meppen_Logo.svg/150px-SV_Meppen_Logo.svg.png,
553,SV Waldhof Mannheim,,https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Svwaldhof.svg/150px-Svwaldhof.svg.png,
174,SV Wehen Wiesbaden,Wiesbaden,https://upload.wikimedia.org/wikipedia/de/thumb/3/3d/Logo_SV_Wehen_Wiesbaden.svg/1024px-Logo_SV_Wehen_Wiesbaden.svg.png,
123,TSG 1899 Hoffenheim,,https://www.openligadb.de/images/teamicons/TSG_Hoffenheim.gif,
175,TSG 1899 Hoffenheim,Hoffenheim,https://upload.wikimedia.org/wikipedia/commons/6/64/TSG_Logo-Standard_4c.png,
125,TSV 1860 München,1860 München,https://www.openligadb.de/images/teamicons/TSV_1860_Muenchen.gif,
5211,Türkgücü München,Türkgücü,https://turkgucu.de/i/logo-tm.svg,
532,VfB Lübeck,,http://upload.wikimedia.org/wikipedia/de/8/86/VfB_L%C3%BCbeck.svg,
