,MatchID,GoalID,ScoreTeam1,ScoreTeam2,GoalGetterID,IsOwnGoal
0,10029,3531,1,0,510,False
1,10029,3532,2,0,282,False
2,10029,3541,3,0,510,False
3,10029,3542,4,0,510,False
4,10029,3543,5,0,986,False
5,10029,3544,6,0,1472,False
6,10029,3552,7,0,1032,False
7,10182,4421,1,0,924,False
8,10182,4422,2,0,1795,False
9,10182,4423,2,1,510,False
10,10182,4424,2,2,860,False
11,10182,4425,2,3,1055,False
12,14025,5647,1,0,1096,False
13,14025,5648,1,1,81,False
14,14178,8701,0,1,1623,False
15,14178,8718,0,2,357,False
16,14178,8719,0,3,1601,False
17,19803,15651,1,0,1772,False
18,19803,15655,1,1,860,False
19,19803,15673,1,2,123,True
20,20203,19418,1,0,7490,True
21,20203,19419,2,0,873,False
22,23940,23787,0,1,60,False
23,23940,23788,0,2,8310,False
24,24128,27043,0,1,32,False
25,24128,27060,1,1,90,False
26,27789,29720,0,1,10370,False
27,27789,29729,1,1,9131,False
28,28473,29719,0,1,10370,False
29,28473,29730,1,1,9131,False
30,31084,34591,0,1,1439,False
31,28153,34502,0,1,1439,False
32,33316,41336,0,1,14289,False
33,33316,41337,0,2,1439,False
34,33316,41351,1,2,1531,False
35,33316,41360,1,3,60,False
36,35368,41382,0,1,7275,False
37,35368,41383,0,2,873,True
38,35368,41384,1,2,1531,False
39,35368,41385,1,3,60,False
40,37250,47065,1,0,12111,False
41,37250,47074,2,0,60,False
42,37250,47081,3,0,1439,False
43,37250,47091,4,0,1017,True
44,33558,47027,1,0,12111,False
45,33558,47039,2,0,60,False
46,33558,47045,3,0,1439,False
47,33558,47090,4,0,1063,False
48,41331,55008,1,0,0,False
49,41331,55009,2,0,0,False
50,42192,54999,2,0,0,False
51,45476,61031,1,0,1784,False
52,45476,61033,2,0,1784,False
53,46486,61037,2,0,0,False
54,49015,64350,1,0,0,False
55,45634,64339,1,0,12755,False
56,51240,74093,1,0,1784,False
57,51240,74094,2,0,16301,False
58,51240,74095,3,0,16143,True
59,55094,77946,3,0,0,False
60,55247,78266,1,0,0,False
61,51393,77254,1,0,16295,False
62,58720,87149,0,1,18324,False
63,58720,87150,1,1,18286,False
64,58720,87151,1,2,18478,False
65,58720,87152,2,2,18456,False
66,60267,87456,1,0,18456,False
67,60267,87462,1,1,18573,False
68,60267,87463,1,2,18574,False
69,58871,88817,1,0,18324,False
70,58871,88824,1,1,18630,False
71,58871,88827,1,2,18381,False
