,MatchID,GoalID,ScoreTeam1,ScoreTeam2,GoalGetterID,IsOwnGoal
0,10053,3799,1,0,84,False
1,10053,3800,2,0,85,False
2,10205,4586,0,1,312,False
3,10205,4587,1,1,1474,False
4,10205,4588,1,2,1007,False
5,10205,4589,1,3,512,False
6,14116,7841,0,1,1442,False
7,14271,11072,1,0,1478,False
8,19829,16494,1,0,851,False
9,19829,16495,1,1,1442,False
10,20231,19976,1,0,1017,False
11,20231,19977,1,1,228,False
12,23574,20487,0,1,1904,False
13,23574,20488,1,1,78,False
14,23574,20489,1,2,181,False
15,23939,23832,0,1,1442,False
16,23939,23833,0,2,11385,False
17,23939,23834,0,3,11384,False
18,24126,27061,0,1,11637,False
19,24126,27062,0,2,357,False
20,24126,27063,0,3,880,False
21,27325,27911,0,1,11385,False
22,27325,27912,0,2,11384,False
23,28065,32115,0,1,357,False
24,28065,32116,1,1,1478,False
25,28065,32119,2,1,181,False
26,29361,32114,0,1,357,False
27,29361,32117,1,1,1478,False
28,29361,32118,2,1,181,False
29,28228,37367,0,1,1478,False
30,31697,37522,0,1,1478,False
31,32943,38235,1,0,1478,False
32,32943,38253,1,1,11397,False
33,32943,38259,1,2,0,False
34,32943,38260,1,3,0,False
35,33094,38236,1,0,0,False
36,33094,38252,1,1,0,False
37,33094,38258,1,2,0,False
38,33094,38261,1,3,0,False
39,33325,42898,1,0,514,False
40,33325,42899,2,0,514,False
41,33325,42902,2,1,11397,False
42,33325,42906,3,1,1478,False
43,33325,42907,4,1,1478,False
44,33325,42909,5,1,1442,False
45,35162,42897,1,0,11384,False
46,35162,42900,2,0,11384,False
47,35162,42901,2,1,11397,False
48,35162,42905,3,1,1478,False
49,35162,42908,4,1,1478,False
50,35162,42910,5,1,1442,False
51,35110,51632,0,1,0,False
52,35110,51633,1,1,0,False
53,35110,51634,2,1,0,False
54,35110,51635,2,2,0,False
55,35110,51636,3,2,0,False
56,35110,51637,3,3,0,False
57,35110,51638,4,3,0,False
58,38907,51643,4,3,0,False
59,41149,52727,1,0,0,False
60,41149,52728,2,0,0,False
61,41149,52729,2,1,0,False
62,41149,52730,2,2,0,False
63,42344,55603,1,0,0,False
64,39738,55579,1,0,16033,False
65,42953,57974,0,1,0,False
66,42953,59758,2,7,0,False
67,42953,59759,2,8,0,False
68,42953,59760,2,9,0,False
69,42953,59761,3,9,0,False
70,42953,59764,5,10,0,False
71,42953,59765,6,10,0,False
72,39893,58701,1,0,513,False
73,39893,58702,2,0,14563,False
74,39893,58703,2,1,16099,False
75,39893,58704,3,1,1876,False
76,39893,58705,4,1,14563,False
77,44778,59035,0,1,0,False
78,44778,59036,1,1,0,False
79,44778,59037,2,1,0,False
80,44778,59038,2,2,0,False
81,44778,59039,2,3,0,False
82,45527,62419,0,1,181,False
83,45527,62420,0,2,15316,False
84,45527,62421,0,3,11533,False
85,45527,62422,1,3,2021,False
86,47408,62423,1,3,0,False
87,48192,63422,1,0,0,False
88,48192,63423,2,0,0,False
89,48192,63424,2,1,0,False
90,48576,63414,2,1,0,False
91,49629,65486,6,0,0,False
92,45680,65480,1,0,1478,False
93,45680,65481,2,0,14255,False
94,45680,65482,3,0,15523,False
95,45680,65483,4,0,1478,False
96,45680,65484,5,0,16024,False
97,45680,65485,6,0,1478,False
98,50801,68448,0,1,0,False
99,50951,68502,1,0,0,False
100,51002,68556,1,0,11397,False
101,51002,68557,2,0,0,False
102,51002,68558,2,1,0,False
103,51211,73559,0,1,15316,False
104,51211,73560,1,1,3426,False
105,51211,73561,1,2,15316,False
106,51211,73562,2,2,3426,False
107,51211,73563,3,2,16945,False
108,55065,77899,3,2,0,False
109,55065,77900,0,1,0,False
110,55220,78225,5,0,0,False
111,55220,78226,4,0,0,False
112,51363,76933,1,0,512,False
113,51363,76934,2,0,1478,False
114,51363,76935,3,0,9943,False
115,51363,76936,4,0,16086,False
116,51363,76937,5,0,1478,False
117,54823,85770,1,0,14306,False
118,55367,81674,1,0,14563,False
119,55367,81675,2,0,16086,False
120,55367,81676,3,0,14563,False
121,55367,81677,4,0,14307,True
122,55520,83496,0,1,15977,False
123,58635,85692,1,0,3426,False
124,58635,85693,1,1,382,False
125,58635,85694,1,2,1478,False
126,58635,85695,1,3,17087,False
127,58635,85696,2,3,18204,False
128,58788,87907,0,1,18449,False
129,58788,87908,0,2,18449,False
130,58788,87909,1,2,18332,False
131,58788,87910,2,2,18332,False
132,58788,87911,3,2,18648,False
133,58788,87912,4,2,18332,False
134,60584,88619,1,0,0,False
135,60584,88620,1,1,0,False
136,60584,88621,2,1,0,False
137,60584,88622,2,2,0,False
138,60584,88623,2,3,0,False
139,60584,88839,3,3,0,False
140,60584,88864,3,4,0,False
141,60590,88865,1,0,0,False
