,MatchID,GoalID,ScoreTeam1,ScoreTeam2,GoalGetterID,IsOwnGoal
0,5401,1894,0,1,851,False
1,5401,1895,0,2,114,False
2,5401,1896,1,2,100,False
3,5401,1897,2,2,926,False
4,5554,2743,0,1,100,False
5,5554,2744,0,2,100,False
6,10080,3943,0,1,394,False
7,10232,4822,1,0,68,False
8,10232,4823,2,0,438,True
9,14090,6988,0,1,256,False
10,14245,10353,1,0,1207,False
11,14245,10354,2,0,1207,False
12,19804,15723,1,0,656,False
13,19804,15726,2,0,114,False
14,20204,19380,0,1,511,False
15,20204,19381,0,2,114,False
16,20204,19382,1,2,3357,False
17,20204,19383,2,2,60,False
18,23776,21619,1,0,11629,False
19,23776,21620,2,0,256,False
20,24014,25644,0,1,6631,False
21,24014,25645,1,1,1073,True
22,24014,25646,1,2,11535,False
23,28057,31819,1,0,6557,False
24,29377,31834,1,0,6557,False
25,31690,37238,0,1,1379,False
26,28220,37165,0,1,1379,False
27,33417,44835,0,1,657,False
28,33417,44909,1,1,788,False
29,36513,44927,0,1,657,False
30,36513,44928,1,1,788,False
31,37440,50771,1,0,657,False
32,37440,50772,2,0,14823,False
33,37440,50773,2,1,14483,False
34,37440,50774,2,2,1379,False
35,37440,50775,2,3,14315,False
36,33747,50766,1,0,657,False
37,33747,50767,2,0,13083,False
38,33747,50768,2,1,14483,False
39,33747,50769,2,2,1379,False
40,33747,50770,2,3,1166,False
41,39767,56330,0,1,6892,False
42,39926,59055,0,1,15617,False
43,39926,59056,0,2,102,False
44,39926,59057,0,3,14603,False
45,39926,59059,0,4,14924,False
46,39926,59060,1,4,6892,False
47,45495,61382,1,0,11373,False
48,45495,61383,1,1,16315,False
49,47366,61387,1,1,0,False
50,49098,64675,0,2,0,False
51,45649,64663,0,1,15352,False
52,45649,64674,0,2,16175,False
53,51256,74396,0,1,15349,False
54,51256,74397,0,2,16277,False
55,51256,74398,1,2,17006,False
56,55108,77969,1,2,0,False
57,55261,78290,1,0,0,False
58,55261,78291,1,1,0,False
59,51410,77456,1,0,16261,False
60,51410,77461,1,1,15352,False
61,55396,82031,1,0,16277,False
62,55396,82041,2,0,16277,False
63,55396,82042,2,1,16294,False
64,55553,84019,1,0,14694,False
65,55553,84020,1,1,11782,True
66,58668,86229,0,1,18233,True
67,58668,86230,0,2,16202,False
68,58668,86231,0,3,17875,False
69,58815,88189,1,0,18459,False
70,58815,88196,2,0,18331,False
71,58815,88198,2,1,18687,False
